frame,timestamp_sec,timestamp_hhmmss,class,confidence,bbox
154,5.133333333333334,00:00:05.13,3,,"[0.561388, 0.54169, 0.110276, 0.222306]"
155,5.166666666666667,00:00:05.16,3,,"[0.561167, 0.541472, 0.112196, 0.223036]"
156,5.2,00:00:05.20,3,,"[0.56115, 0.541871, 0.112187, 0.222453]"
157,5.233333333333333,00:00:05.23,3,,"[0.561269, 0.544159, 0.113083, 0.218867]"
158,5.266666666666667,00:00:05.26,3,,"[0.562391, 0.543117, 0.110678, 0.219971]"
159,5.3,00:00:05.29,3,,"[0.561901, 0.543056, 0.1131, 0.220163]"
160,5.333333333333333,00:00:05.33,3,,"[0.561471, 0.543147, 0.114241, 0.219826]"
161,5.366666666666666,00:00:05.36,3,,"[0.561474, 0.543536, 0.114935, 0.219355]"
162,5.4,00:00:05.40,3,,"[0.56136, 0.543591, 0.117333, 0.220382]"
163,5.433333333333334,00:00:05.43,3,,"[0.559063, 0.543327, 0.122407, 0.222053]"
164,5.466666666666667,00:00:05.46,3,,"[0.55881, 0.543432, 0.122441, 0.221827]"
165,5.5,00:00:05.50,3,,"[0.558267, 0.543995, 0.124211, 0.222283]"
166,5.533333333333333,00:00:05.53,3,,"[0.558333, 0.543694, 0.125194, 0.223874]"
167,5.566666666666666,00:00:05.56,3,,"[0.558502, 0.544203, 0.124172, 0.223115]"
168,5.6,00:00:05.59,3,,"[0.558201, 0.544122, 0.12585, 0.223555]"
169,5.633333333333334,00:00:05.63,3,,"[0.558458, 0.543684, 0.123705, 0.223706]"
170,5.666666666666667,00:00:05.66,3,,"[0.559626, 0.544396, 0.121646, 0.222319]"
171,5.7,00:00:05.70,3,,"[0.560836, 0.543549, 0.119907, 0.223251]"
172,5.733333333333333,00:00:05.73,3,,"[0.562569, 0.539765, 0.116673, 0.231484]"
173,5.766666666666667,00:00:05.76,3,,"[0.563007, 0.539183, 0.114992, 0.232694]"
174,5.8,00:00:05.79,3,,"[0.563658, 0.53702, 0.114929, 0.238957]"
175,5.833333333333333,00:00:05.83,3,,"[0.565526, 0.539148, 0.110343, 0.234264]"
176,5.866666666666666,00:00:05.86,3,,"[0.565688, 0.535442, 0.109139, 0.241054]"
177,5.9,00:00:05.90,3,,"[0.565818, 0.533218, 0.108056, 0.245957]"
178,5.933333333333334,00:00:05.93,3,,"[0.565872, 0.531649, 0.108152, 0.248865]"
179,5.966666666666667,00:00:05.96,3,,"[0.566176, 0.530978, 0.107601, 0.250433]"
180,6.0,00:00:06.00,3,,"[0.566249, 0.529139, 0.107805, 0.253834]"
181,6.033333333333333,00:00:06.03,3,,"[0.566245, 0.528295, 0.107626, 0.254277]"
182,6.066666666666666,00:00:06.06,3,,"[0.566125, 0.524961, 0.106534, 0.260316]"
183,6.1,00:00:06.09,3,,"[0.566349, 0.521626, 0.104919, 0.264249]"
184,6.133333333333334,00:00:06.13,3,,"[0.566952, 0.517898, 0.104058, 0.270926]"
185,6.166666666666667,00:00:06.16,3,,"[0.566733, 0.517696, 0.105125, 0.271386]"
186,6.2,00:00:06.20,3,,"[0.566008, 0.518592, 0.106231, 0.268655]"
187,6.233333333333333,00:00:06.23,3,,"[0.565593, 0.52226, 0.107584, 0.261762]"
188,6.266666666666667,00:00:06.26,3,,"[0.564187, 0.523961, 0.109536, 0.257598]"
189,6.3,00:00:06.29,3,,"[0.5631, 0.525492, 0.112559, 0.255004]"
190,6.333333333333333,00:00:06.33,3,,"[0.562782, 0.528565, 0.112968, 0.248266]"
191,6.366666666666666,00:00:06.36,3,,"[0.56208, 0.531335, 0.114415, 0.243208]"
192,6.4,00:00:06.40,3,,"[0.563174, 0.535409, 0.111898, 0.234964]"
193,6.433333333333334,00:00:06.43,3,,"[0.562644, 0.53606, 0.112531, 0.23319]"
194,6.466666666666667,00:00:06.46,3,,"[0.561522, 0.53626, 0.114569, 0.232728]"
195,6.5,00:00:06.50,3,,"[0.561881, 0.537355, 0.114241, 0.232038]"
196,6.533333333333333,00:00:06.53,3,,"[0.561835, 0.536841, 0.11572, 0.234139]"
197,6.566666666666666,00:00:06.56,3,,"[0.561633, 0.538507, 0.116375, 0.231764]"
198,6.6,00:00:06.59,3,,"[0.56172, 0.539358, 0.116027, 0.230177]"
199,6.633333333333334,00:00:06.63,3,,"[0.561827, 0.540255, 0.116632, 0.228293]"
200,6.666666666666667,00:00:06.66,3,,"[0.56215, 0.539677, 0.115663, 0.229693]"
201,6.7,00:00:06.70,3,,"[0.562416, 0.540568, 0.114663, 0.2259]"
202,6.733333333333333,00:00:06.73,3,,"[0.5625, 0.541554, 0.114484, 0.223594]"
203,6.766666666666667,00:00:06.76,3,,"[0.562824, 0.542562, 0.112891, 0.221435]"
204,6.8,00:00:06.79,3,,"[0.562919, 0.54155, 0.115065, 0.224335]"
205,6.833333333333333,00:00:06.83,3,,"[0.562813, 0.541116, 0.115622, 0.225009]"
206,6.866666666666666,00:00:06.86,3,,"[0.56246, 0.540806, 0.115826, 0.225516]"
207,6.9,00:00:06.90,3,,"[0.561668, 0.540118, 0.117543, 0.228758]"
208,6.933333333333334,00:00:06.93,3,,"[0.562033, 0.539783, 0.116898, 0.227168]"
209,6.966666666666667,00:00:06.96,3,,"[0.561587, 0.541194, 0.117298, 0.224515]"
210,7.0,00:00:07.00,3,,"[0.561129, 0.543369, 0.118901, 0.220276]"
211,7.033333333333333,00:00:07.03,3,,"[0.560496, 0.544501, 0.119985, 0.218064]"
212,7.066666666666666,00:00:07.06,3,,"[0.560013, 0.545161, 0.121056, 0.218006]"
213,7.1,00:00:07.09,3,,"[0.559909, 0.544561, 0.120726, 0.219643]"
214,7.133333333333334,00:00:07.13,3,,"[0.559649, 0.542401, 0.11998, 0.223477]"
215,7.166666666666667,00:00:07.16,3,,"[0.560073, 0.541028, 0.120535, 0.225119]"
216,7.2,00:00:07.20,3,,"[0.562345, 0.540493, 0.115643, 0.226117]"
217,7.233333333333333,00:00:07.23,3,,"[0.56347, 0.539998, 0.11301, 0.226075]"
218,7.266666666666667,00:00:07.26,3,,"[0.565737, 0.538252, 0.108283, 0.230394]"
219,7.3,00:00:07.29,3,,"[0.566729, 0.536618, 0.106432, 0.233612]"
220,7.333333333333333,00:00:07.33,3,,"[0.567302, 0.53615, 0.104755, 0.234162]"
221,7.366666666666666,00:00:07.36,3,,"[0.567127, 0.536136, 0.105101, 0.233935]"
222,7.4,00:00:07.40,3,,"[0.566288, 0.537538, 0.107169, 0.232384]"
223,7.433333333333334,00:00:07.43,3,,"[0.566424, 0.537965, 0.108182, 0.233319]"
224,7.466666666666667,00:00:07.46,3,,"[0.566104, 0.539725, 0.109517, 0.23012]"
225,7.5,00:00:07.50,3,,"[0.56626, 0.543205, 0.110053, 0.224126]"
226,7.533333333333333,00:00:07.53,3,,"[0.566628, 0.544236, 0.109226, 0.220482]"
227,7.566666666666666,00:00:07.56,3,,"[0.56634, 0.545784, 0.110619, 0.217979]"
228,7.6,00:00:07.59,3,,"[0.566197, 0.545328, 0.110335, 0.218712]"
229,7.633333333333334,00:00:07.63,3,,"[0.564818, 0.546206, 0.114109, 0.217646]"
230,7.666666666666667,00:00:07.66,3,,"[0.564215, 0.547877, 0.116769, 0.214811]"
231,7.7,00:00:07.70,3,,"[0.562727, 0.553277, 0.118857, 0.203245]"
232,7.733333333333333,00:00:07.73,3,,"[0.561901, 0.554759, 0.121268, 0.201233]"
233,7.766666666666667,00:00:07.76,3,,"[0.561048, 0.555705, 0.123116, 0.199889]"
234,7.8,00:00:07.79,3,,"[0.559387, 0.553929, 0.126674, 0.203969]"
235,7.833333333333333,00:00:07.83,3,,"[0.558705, 0.554795, 0.127605, 0.202543]"
236,7.866666666666666,00:00:07.86,3,,"[0.558034, 0.55186, 0.129312, 0.209091]"
237,7.9,00:00:07.90,3,,"[0.559869, 0.553062, 0.126046, 0.20663]"
238,7.933333333333334,00:00:07.93,3,,"[0.55992, 0.549188, 0.126071, 0.214359]"
239,7.966666666666667,00:00:07.96,3,,"[0.562481, 0.547973, 0.120958, 0.216976]"
240,8.0,00:00:08.00,3,,"[0.563204, 0.546359, 0.119172, 0.219947]"
241,8.033333333333333,00:00:08.03,3,,"[0.564056, 0.546074, 0.116829, 0.219976]"
242,8.066666666666666,00:00:08.06,3,,"[0.564015, 0.544665, 0.117018, 0.222885]"
243,8.1,00:00:08.09,3,,"[0.564286, 0.545575, 0.116214, 0.221912]"
244,8.133333333333333,00:00:08.13,3,,"[0.563694, 0.543368, 0.116834, 0.226206]"
245,8.166666666666666,00:00:08.16,3,,"[0.564082, 0.540847, 0.115871, 0.230859]"
246,8.2,00:00:08.19,3,,"[0.564517, 0.539508, 0.115476, 0.232977]"
247,8.233333333333333,00:00:08.23,3,,"[0.564592, 0.535957, 0.114537, 0.240583]"
248,8.266666666666667,00:00:08.26,3,,"[0.566062, 0.536031, 0.111043, 0.240809]"
249,8.3,00:00:08.30,3,,"[0.566958, 0.536116, 0.109282, 0.240976]"
250,8.333333333333334,00:00:08.33,3,,"[0.567921, 0.536104, 0.107157, 0.240963]"
251,8.366666666666667,00:00:08.36,3,,"[0.568004, 0.537001, 0.106845, 0.239129]"
252,8.4,00:00:08.40,3,,"[0.567984, 0.537244, 0.106734, 0.23866]"
253,8.433333333333334,00:00:08.43,3,,"[0.567786, 0.537692, 0.107093, 0.237702]"
254,8.466666666666667,00:00:08.46,3,,"[0.568053, 0.536761, 0.106853, 0.239632]"
255,8.5,00:00:08.50,3,,"[0.567469, 0.537678, 0.107893, 0.237781]"
256,8.533333333333333,00:00:08.53,3,,"[0.566938, 0.536519, 0.10962, 0.240427]"
257,8.566666666666666,00:00:08.56,3,,"[0.56698, 0.536548, 0.109745, 0.240583]"
258,8.6,00:00:08.59,3,,"[0.567548, 0.538435, 0.108424, 0.236602]"
259,8.633333333333333,00:00:08.63,3,,"[0.567903, 0.537982, 0.107421, 0.237439]"
260,8.666666666666666,00:00:08.66,3,,"[0.567779, 0.536413, 0.108074, 0.240196]"
261,8.7,00:00:08.69,3,,"[0.568106, 0.536787, 0.106585, 0.23896]"
262,8.733333333333333,00:00:08.73,3,,"[0.568234, 0.536479, 0.106142, 0.239723]"
263,8.766666666666667,00:00:08.76,3,,"[0.568006, 0.53672, 0.106127, 0.238968]"
264,8.8,00:00:08.80,3,,"[0.567846, 0.537082, 0.106113, 0.238192]"
265,8.833333333333334,00:00:08.83,3,,"[0.567622, 0.537582, 0.106889, 0.236908]"
266,8.866666666666667,00:00:08.86,3,,"[0.56777, 0.537381, 0.105997, 0.237653]"
267,8.9,00:00:08.90,3,,"[0.568018, 0.538035, 0.105644, 0.236355]"
268,8.933333333333334,00:00:08.93,3,,"[0.567926, 0.538076, 0.105569, 0.236094]"
269,8.966666666666667,00:00:08.96,3,,"[0.567874, 0.537367, 0.105848, 0.237496]"
270,9.0,00:00:09.00,3,,"[0.567839, 0.536957, 0.105929, 0.238301]"
271,9.033333333333333,00:00:09.03,3,,"[0.567524, 0.537062, 0.106038, 0.237864]"
272,9.066666666666666,00:00:09.06,3,,"[0.566683, 0.537324, 0.10799, 0.237732]"
273,9.1,00:00:09.09,3,,"[0.566334, 0.539627, 0.107951, 0.233483]"
274,9.133333333333333,00:00:09.13,3,,"[0.565861, 0.541, 0.109441, 0.230722]"
275,9.166666666666666,00:00:09.16,3,,"[0.566103, 0.540442, 0.108962, 0.231857]"
276,9.2,00:00:09.19,3,,"[0.566059, 0.539818, 0.10929, 0.233133]"
277,9.233333333333333,00:00:09.23,3,,"[0.565995, 0.54041, 0.109639, 0.231892]"
278,9.266666666666667,00:00:09.26,3,,"[0.565792, 0.541047, 0.110115, 0.23071]"
279,9.3,00:00:09.30,3,,"[0.565916, 0.541983, 0.109758, 0.228941]"
280,9.333333333333334,00:00:09.33,3,,"[0.565851, 0.542218, 0.1094, 0.228329]"
281,9.366666666666667,00:00:09.36,3,,"[0.566137, 0.542145, 0.109154, 0.228557]"
282,9.4,00:00:09.40,3,,"[0.565673, 0.541348, 0.110366, 0.230287]"
283,9.433333333333334,00:00:09.43,3,,"[0.564385, 0.542066, 0.113715, 0.228613]"
284,9.466666666666667,00:00:09.46,3,,"[0.564285, 0.541363, 0.114057, 0.230521]"
285,9.5,00:00:09.50,3,,"[0.56493, 0.54334, 0.113209, 0.226761]"
286,9.533333333333333,00:00:09.53,3,,"[0.565096, 0.544756, 0.112508, 0.2237]"
287,9.566666666666666,00:00:09.56,3,,"[0.564596, 0.544059, 0.113835, 0.225542]"
288,9.6,00:00:09.59,3,,"[0.564804, 0.543159, 0.113475, 0.227389]"
289,9.633333333333333,00:00:09.63,3,,"[0.565946, 0.54416, 0.110712, 0.224831]"
290,9.666666666666666,00:00:09.66,3,,"[0.566314, 0.543466, 0.109239, 0.226897]"
291,9.7,00:00:09.69,3,,"[0.566694, 0.544429, 0.108223, 0.224764]"
292,9.733333333333333,00:00:09.73,3,,"[0.565692, 0.543116, 0.110803, 0.227229]"
293,9.766666666666667,00:00:09.76,3,,"[0.56606, 0.544095, 0.11038, 0.225599]"
294,9.8,00:00:09.80,3,,"[0.566806, 0.544927, 0.109087, 0.224167]"
295,9.833333333333334,00:00:09.83,3,,"[0.567113, 0.546422, 0.108613, 0.220805]"
296,9.866666666666667,00:00:09.86,3,,"[0.565183, 0.545486, 0.112709, 0.223233]"
297,9.9,00:00:09.90,3,,"[0.566013, 0.546411, 0.110792, 0.22077]"
